,GeoName,2021:Q1,2021:Q2
0,United States,66191,62215
1000,Alabama,52633,48133
2000,Alaska *,69683,65501
4000,Arizona,54620,50373
5000,Arkansas,53643,49079
6000,California,77642,74304
8000,Colorado,70324,66679
9000,Connecticut,85474,81848
10000,Delaware,61798,57504
11000,District of Columbia,92597,90043
12000,Florida,62357,58441
13000,Georgia,58080,54442
15000,Hawaii *,65476,60807
16000,Idaho,55043,50240
17000,Illinois,70672,67243
18000,Indiana,59169,54625
19000,Iowa,60159,56457
20000,Kansas,62072,58380
21000,Kentucky,53829,49259
22000,Louisiana,57044,53281
23000,Maine,60375,55634
24000,Maryland,74099,70002
25000,Massachusetts,85249,81995
26000,Michigan,59265,54864
27000,Minnesota,68529,64674
28000,Mississippi,48347,44128
29000,Missouri,58212,54120
30000,Montana,59766,55533
31000,Nebraska,64339,61289
32000,Nevada,59691,55577
33000,New Hampshire,72935,68126
34000,New Jersey,80723,77193
35000,New Mexico,52715,48161
36000,New York,82370,78404
37000,North Carolina,56915,52568
38000,North Dakota,68648,65914
39000,Ohio,60369,55767
40000,Oklahoma,55989,51564
41000,Oregon,62969,58544
42000,Pennsylvania,67814,63276
44000,Rhode Island,66724,61624
45000,South Carolina,54058,49737
46000,South Dakota,65861,62446
47000,Tennessee,57749,53340
48000,Texas,61616,57794
49000,Utah,57969,53539
50000,Vermont,65162,60396
51000,Virginia,68105,63969
53000,Washington,73863,70441
54000,West Virginia,51330,46343
55000,Wisconsin,61811,57360
56000,Wyoming,68028,63589
